날짜,종가,전일비,시가,고가,저가,거래량,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-06-02,43150,"상승
				450",43200,43700,42400,2075682,42500.0,38780.0,40277.5,66.19816114982251,926.3017209568061,139.0144221400105,787.2872988167956,2069200.7,1.0031322722827225,False,False,False,False
2025-06-04,41600,"하락
				1,550",44100,44450,41050,3838475,42630.0,38957.5,40219.166666666664,58.070285503014105,945.0714256394131,300.22582283989107,644.845602799522,2193575.0,1.7498717846437892,True,False,False,False
2025-06-05,44300,"상승
				2,700",42000,44900,41850,5070135,43150.0,39255.0,40228.333333333336,65.91990596241591,1164.3916053692155,473.058979345756,691.3326260234596,2352500.6,2.155210927470114,True,False,False,False
2025-06-09,51400,"상승
				7,100",45950,51500,45700,12784767,44630.0,39975.0,40328.333333333336,77.72774121795476,1889.3360013926358,756.314383755132,1133.0216176375038,2759769.95,4.632548086118555,True,False,False,False
2025-06-10,50000,"하락
				1,400",53300,53300,49000,8896042,46090.0,40627.5,40426.666666666664,72.40092188603771,2324.1005737597807,1069.8716217560618,1254.2289520037189,3150732.85,2.8234834317990494,True,False,False,False
2025-06-11,51400,"상승
				1,400",49100,52000,49100,5300436,47740.0,41292.5,40548.333333333336,74.29783041053304,2749.9235227795143,1405.8820019607524,1344.041520818762,3328864.75,1.5922653511230818,True,False,False,False
2025-06-12,50500,"하락
				900",50800,51800,50300,4071665,49520.0,41940.0,40670.833333333336,70.9231030064837,2980.4124597860937,1720.7880935258206,1259.624366260273,3468945.4,1.173747214355118,False,False,False,False
2025-06-13,51500,"상승
				1,000",53700,53700,50700,5408390,50960.0,42617.5,40805.0,72.42198598601026,3206.80222570536,2017.9909199617287,1188.8113057436312,3658196.05,1.478430878520029,False,False,False,False
2025-06-16,53200,"상승
				1,700",51300,53300,50800,4949701,51320.0,43395.0,40966.666666666664,74.80019717227124,3483.2409058335033,2311.040917136084,1172.1999886974195,3838375.0,1.2895303351027454,False,False,False,False
2025-06-17,51800,"하락
				1,400",53800,54000,51200,3981660,51680.0,44115.0,41096.666666666664,69.48587637862033,3548.447952591072,2558.5223242270818,989.9256283639902,3991825.0,0.9974535456839917,False,False,False,False
2025-06-18,55200,"상승
				3,400",51600,55400,51600,8380598,52440.0,45052.5,41295.0,74.26738098763309,3830.323012556786,2812.882461893023,1017.4405506637631,4341358.6,1.9304090659546072,True,False,False,False
2025-06-19,60400,"상승
				5,200",57300,61800,56800,14753547,54420.0,46245.0,41590.833333333336,79.54629681037181,4422.329706119017,3134.771910738222,1287.5577953807951,4995035.2,2.953642248607177,True,False,False,False
2025-06-20,66600,"상승
				6,200",60100,67200,58600,16754279,57440.0,47702.5,41974.166666666664,83.81072788147887,5330.342589039639,3573.8860463985056,1756.4565426411336,5766380.6,2.9055104340493934,True,False,False,False
2025-06-23,67600,"상승
				1,000",67000,68900,65600,12708128,60320.0,49220.0,42402.5,84.37652380416034,6060.77612877472,4071.2640628737486,1989.5120659009713,6357580.55,1.9988937458291425,True,False,False,False
2025-06-24,70400,"상승
				2,800",68100,71600,66000,12083420,64040.0,50870.0,42872.5,85.86602086642506,6787.346268125286,4614.480503924056,2172.8657642012295,6907694.4,1.749269626056416,True,False,False,False
2025-06-25,69400,"하락
				1,000",69400,70700,67200,6399440,66880.0,52390.0,43314.166666666664,82.82884298900831,7199.475622110767,5131.479527561399,2067.9960945493685,7093837.5,0.9021125730607729,False,False,False,False
2025-06-26,63100,"하락
				6,300",67500,67600,61100,12516562,67420.0,53497.5,43672.5,66.79855898277034,6937.759581818929,5492.735538412905,1445.0240434060242,7547230.6,1.6584311071666473,True,False,False,False
